Circuit Number,0 0,0 1,1 0,1 1
1,313,3828,3964,87
2,361,3752,3965,114
3,464,3702,3822,204
4,720,3431,3681,360
5,871,3212,3489,620
6,1157,3031,3141,863
7,1489,2627,2828,1248
8,1821,2336,2536,1499
9,2200,1945,2091,1956
10,2560,1561,1799,2272
11,2858,1194,1441,2699
12,3236,899,1123,2934
13,3511,582,834,3265
14,3725,384,637,3446
15,3930,230,452,3580
16,4022,118,340,3712
17,4092,89,320,3691
18,4015,131,362,3684
19,3800,263,488,3641
20,3692,430,686,3384
21,3434,667,922,3169
22,3212,966,1182,2832
23,2869,1286,1536,2501
24,2501,1619,1930,2142
25,2207,1963,2176,1846
26,1735,2294,2649,1514
27,1404,2753,2940,1095
28,1121,3090,3187,794
29,817,3242,3577,556
30,628,3493,3738,333
31,442,3673,3891,186
32,365,3812,3921,94
33,337,3817,3966,72
