Circuit Number,0 0 0,0 0 1,0 1 0,0 1 1,1 0 0,1 0 1,1 1 0,1 1 1
1,864,1301,68,3971,1017,935,27,9
2,958,1269,159,3768,975,1034,24,5
3,1005,1176,356,3656,969,992,29,9
4,1019,1221,509,3481,888,1044,21,9
5,1136,1066,872,3154,823,1109,22,10
6,1135,1108,1173,2786,814,1148,17,11
7,1167,1010,1507,2498,805,1167,27,11
8,1272,911,1887,2103,818,1175,16,10
9,1286,923,2346,1647,763,1189,23,15
10,1357,895,2651,1298,778,1180,19,14
11,1368,849,2907,1018,799,1209,21,21
12,1441,837,3275,708,777,1109,20,25
13,1422,815,3519,430,813,1147,14,32
14,1394,804,3822,222,836,1071,12,31
15,1394,812,3878,100,869,1108,8,23
16,1383,844,3952,60,912,987,13,41
17,1359,907,3988,60,899,944,9,26
18,1310,913,3843,143,985,957,7,34
19,1208,982,3761,311,1008,890,12,20
20,1177,983,3531,525,1050,897,7,22
21,1106,1020,3203,861,1104,874,10,14
22,1105,1136,2859,1099,1139,817,15,22
23,1011,1199,2552,1514,1069,804,11,32
24,966,1248,2076,1916,1172,782,19,13
25,952,1282,1717,2223,1226,766,10,16
26,887,1295,1368,2701,1176,731,18,16
27,823,1376,1055,2967,1140,804,14,13
28,800,1413,706,3263,1144,837,16,13
29,803,1398,428,3558,1157,819,17,12
30,802,1391,230,3786,1115,829,28,11
31,827,1395,112,3808,1090,911,37,12
32,837,1335,50,3994,1025,922,17,12
33,901,1309,66,3920,1030,928,32,6
