Circuit Number,0 0 0,0 0 1,0 1 0,0 1 1,1 0 0,1 0 1,1 1 0,1 1 1
1,1449,1568,489,488,670,703,1390,1435
2,1433,1486,496,561,724,694,1340,1458
3,1496,1494,498,553,734,690,1267,1460
4,1345,1436,593,617,794,750,1255,1402
5,1317,1392,660,663,859,806,1220,1275
6,1227,1406,772,694,877,879,1098,1239
7,1190,1269,850,770,950,996,1045,1122
8,1032,1224,914,805,1117,1112,983,1005
9,988,1043,970,935,1257,1215,861,923
10,843,1017,1145,1060,1269,1331,753,774
11,760,903,1193,1122,1410,1479,680,645
12,715,828,1304,1273,1412,1521,624,515
13,635,726,1334,1282,1527,1652,542,494
14,606,661,1343,1431,1545,1731,459,416
15,505,636,1365,1452,1620,1824,428,362
16,515,562,1455,1512,1647,1787,402,312
17,467,562,1383,1512,1706,1843,384,335
18,512,601,1502,1409,1627,1856,348,337
19,453,632,1449,1498,1603,1775,437,345
20,594,642,1413,1471,1477,1718,484,393
21,669,795,1310,1380,1356,1709,485,488
22,730,821,1195,1248,1436,1581,634,547
23,850,868,1169,1208,1249,1457,719,672
24,900,900,1022,1094,1221,1453,800,802
25,978,1070,978,1065,1107,1237,868,889
26,1155,1185,826,924,997,1160,921,1024
27,1217,1250,761,813,897,999,1096,1159
28,1202,1351,675,749,954,866,1146,1249
29,1367,1335,627,656,808,866,1244,1289
30,1394,1430,590,570,727,812,1321,1348
31,1447,1500,565,571,717,713,1290,1389
32,1429,1554,528,543,727,655,1334,1422
33,1483,1533,475,490,658,670,1384,1499
34,1831,1878,179,146,284,252,1747,1875
35,1722,1964,173,164,281,243,1738,1907
36,1742,1855,251,203,334,281,1684,1842
37,1668,1849,308,299,406,345,1586,1731
38,1513,1764,443,378,541,454,1512,1587
39,1447,1552,536,535,660,579,1354,1529
40,1310,1444,669,647,838,728,1202,1354
41,1165,1244,836,765,954,900,1040,1288
42,1014,1082,988,956,1116,1017,925,1094
43,748,944,1182,1138,1278,1306,721,875
44,603,727,1326,1311,1482,1482,599,662
45,508,593,1496,1404,1570,1645,459,517
46,382,451,1600,1619,1703,1795,286,356
47,321,366,1685,1688,1783,1889,248,212
48,210,276,1725,1738,1925,2007,159,152
49,168,231,1816,1885,1869,2034,110,79
50,157,184,1728,1946,1929,2090,95,63
51,167,193,1754,1903,1861,2122,115,77
52,241,252,1763,1790,1861,1984,184,117
53,278,345,1635,1702,1752,2033,256,191
54,416,438,1563,1663,1593,1843,371,305
55,603,556,1377,1458,1465,1769,520,444
56,750,750,1286,1310,1387,1523,614,572
57,850,803,1147,1220,1176,1442,822,732
58,1064,995,942,1067,1049,1189,994,892
59,1200,1146,766,932,873,1039,1117,1119
60,1319,1428,600,725,710,897,1271,1242
61,1450,1593,480,620,575,700,1381,1393
62,1600,1568,375,429,478,579,1602,1561
63,1650,1709,273,311,410,425,1680,1734
64,1736,1808,224,275,307,342,1718,1782
65,1746,1922,187,175,298,292,1714,1858
66,1857,1944,152,172,266,264,1657,1880
67,1922,2022,41,37,69,52,1971,2078
68,1842,2058,92,48,89,76,1947,2040
69,1882,1936,141,117,139,98,1863,2016
70,1668,1964,208,164,238,185,1774,1991
71,1629,1814,348,306,399,303,1660,1733
72,1475,1629,510,443,550,446,1455,1684
73,1299,1484,698,629,673,596,1333,1480
74,1131,1293,785,808,863,791,1172,1349
75,997,1108,1074,917,1088,1013,940,1055
76,722,853,1179,1162,1274,1263,779,960
77,581,709,1381,1372,1385,1421,571,772
78,442,511,1479,1542,1638,1576,449,555
79,309,396,1677,1665,1722,1734,298,391
80,183,258,1773,1793,1838,1901,174,272
81,119,117,1884,1982,1900,1946,104,140
82,73,87,1851,2108,1889,2030,51,103
83,56,56,1786,2053,1918,2211,40,72
84,81,78,1800,2013,1952,2139,62,67
85,137,113,1752,2018,1848,2059,145,120
86,229,196,1678,1941,1775,1949,216,208
87,352,322,1630,1756,1640,1834,330,328
88,444,484,1437,1649,1498,1696,528,456
89,673,613,1329,1501,1266,1540,653,617
90,851,808,1076,1233,1138,1345,866,875
91,988,999,924,1070,981,1122,1098,1010
92,1227,1143,736,914,746,972,1257,1197
93,1351,1390,539,722,636,754,1368,1432
94,1582,1525,429,529,384,563,1576,1604
95,1740,1641,295,375,320,419,1712,1690
96,1811,1814,178,245,192,280,1829,1843
97,1902,1908,91,150,126,170,1868,1977
98,1854,1956,68,90,76,85,1971,2092
99,1840,2060,47,43,61,71,2004,2066
